date,Total_cases,Total_deaths,percentage_death
1/10/2020,,,
1/11/2020,,,
1/12/2020,,,
1/13/2020,,,
1/14/2020,,,
1/15/2020,,,
1/16/2020,,,
1/17/2020,,,
1/18/2020,,,
1/19/2020,,,
1/20/2020,,,
1/21/2020,,,
1/22/2020,,,
1/23/2020,98.0,1.0,
1/24/2020,286.0,8.0,
1/25/2020,493.0,16.0,
1/26/2020,684.0,14.0,
1/27/2020,809.0,26.0,
1/28/2020,2651.0,49.0,
1/29/2020,589.0,2.0,
1/30/2020,2068.0,38.0,
1/31/2020,1692.0,42.0,
10/1/2020,318628.0,8852.0,2.9044585987261144
10/2/2020,298164.0,5029.0,2.9015016543649783
10/3/2020,333055.0,5451.0,2.891566265060241
10/4/2020,261210.0,4029.0,2.890466531440162
10/5/2020,299529.0,7001.0,2.886806786528235
10/6/2020,326281.0,5862.0,2.8932406822488947
10/7/2020,351148.0,5904.0,2.8917792650587195
10/8/2020,361763.0,6356.0,2.8801408627845553
10/9/2020,361168.0,6212.0,2.8646484863647736
11/1/2020,462786.0,5122.0,2.90183902555529
11/2/2020,561640.0,6184.0,2.920491119322923
11/3/2020,554568.0,9438.0,2.925089179548157
11/4/2020,511214.0,10152.0,2.9429215616470867
11/5/2020,597098.0,8103.0,2.936996684036002
11/6/2020,644909.0,9739.0,2.9512454255695904
11/7/2020,600701.0,7709.0,2.953636149682278
11/8/2020,483696.0,6032.0,2.965654671199156
11/9/2020,500246.0,7220.0,2.966943114122182
12/1/2020,618025.0,12727.0,2.734722085102182
12/2/2020,653052.0,12682.0,2.734722085102182
12/3/2020,695288.0,12570.0,2.686108979278588
12/4/2020,685929.0,12450.0,2.664264719825543
12/5/2020,646831.0,10341.0,2.740887256287087
12/6/2020,536337.0,7681.0,2.715058779623064
12/7/2020,516676.0,8663.0,2.7124273456960974
12/8/2020,649737.0,12314.0,2.776759530791789
12/9/2020,669464.0,12660.0,2.761878804397202
2/10/2020,2537.0,107.0,
2/11/2020,2042.0,100.0,
2/12/2020,378.0,5.0,
2/13/2020,15152.0,253.0,
2/14/2020,6485.0,152.0,
2/15/2020,2076.0,143.0,
2/16/2020,2113.0,104.0,
2/17/2020,1936.0,98.0,
2/18/2020,1794.0,140.0,
2/19/2020,421.0,115.0,
2/20/2020,547.0,123.0,
2/21/2020,629.0,4.0,
2/22/2020,1761.0,207.0,
2/23/2020,323.0,10.0,
2/24/2020,568.0,160.0,
2/25/2020,854.0,80.0,
2/26/2020,963.0,60.0,
2/27/2020,1359.0,43.0,
2/28/2020,1388.0,57.0,
2/29/2020,1894.0,70.0,
3/10/2020,4825.0,276.0,
3/11/2020,7662.0,344.0,
3/12/2020,5802.0,309.0,
3/13/2020,14356.0,492.0,
3/14/2020,11099.0,421.0,
3/15/2020,11277.0,645.0,
3/16/2020,14785.0,692.0,
3/17/2020,16003.0,815.0,
3/18/2020,19550.0,917.0,
3/19/2020,27108.0,1116.0,
3/20/2020,30876.0,1496.0,
3/21/2020,32142.0,1722.0,
3/22/2020,35107.0,1685.0,
3/23/2020,42661.0,1958.0,33.33333333333333
3/24/2020,41085.0,2308.0,33.33333333333333
3/25/2020,51089.0,2824.0,33.33333333333333
3/26/2020,62862.0,3040.0,33.33333333333333
3/27/2020,64910.0,3485.0,20.0
3/28/2020,69663.0,3836.0,14.285714285714285
3/29/2020,56900.0,3477.0,14.285714285714285
3/30/2020,65279.0,4081.0,14.285714285714285
3/31/2020,76819.0,4732.0,12.5
4/10/2020,85320.0,7417.0,23.076923076923077
4/11/2020,74387.0,6286.0,21.428571428571427
4/12/2020,119597.0,5940.0,21.428571428571427
4/13/2020,71053.0,6019.0,17.647058823529413
4/14/2020,83867.0,7104.0,17.647058823529413
4/15/2020,78222.0,8544.0,13.043478260869565
4/16/2020,95693.0,7419.0,13.043478260869565
4/17/2020,88042.0,8500.0,12.5
4/18/2020,77188.0,6202.0,12.0
4/19/2020,76775.0,5351.0,12.0
4/20/2020,75547.0,6048.0,12.0
4/21/2020,76004.0,7402.0,10.714285714285714
4/22/2020,81491.0,7027.0,14.285714285714285
4/23/2020,83998.0,6998.0,14.285714285714285
4/24/2020,84115.0,6914.0,13.793103448275861
4/25/2020,82351.0,5884.0,12.903225806451612
4/26/2020,71467.0,4253.0,12.903225806451612
