location,population,highest_infection,population_infected_percent
Montenegro,628051.0,140922.0,22.437986724008084
Seychelles,98910.0,22102.0,22.34556667677687
Andorra,77354.0,15404.0,19.913643767613827
Georgia,3979773.0,692240.0,17.39395689151115
San Marino,34010.0,5497.0,16.162893266686268
Czechia,10724553.0,1729458.0,16.12615462854256
Maldives,543620.0,86922.0,15.989477944152164
Serbia,6908224.0,1098209.0,15.89712493399172
Bahrain,1748295.0,276571.0,15.819469826316496
Slovenia,2078723.0,319913.0,15.3898811914815
Israel,8789776.0,1323079.0,15.052476877681526
Lithuania,2689862.0,388185.0,14.43140949238288
Estonia,1325188.0,182039.0,13.736843376185115
Cyprus,896005.0,122996.0,13.727155540426672
United States,332915074.0,45444260.0,13.65040622942775
United Kingdom,68207114.0,8814735.0,12.923483318763495
Luxembourg,634814.0,80603.0,12.697104978781187
Netherlands,17173094.0,2122247.0,12.357976960936684
Argentina,45605823.0,5280358.0,11.578253943580846
Sweden,10160159.0,1165996.0,11.476158985307219
Belgium,11632334.0,1312360.0,11.282000671576315
Uruguay,3485152.0,392148.0,11.251962611673752
Croatia,4081657.0,445325.0,10.910397419479393
Latvia,1866934.0,202573.0,10.850571043218453
Costa Rica,5139053.0,555970.0,10.818530184452271
Panama,4381583.0,471403.0,10.758737196122954
France,67564251.0,7226974.0,10.69644655721855
Spain,46745211.0,4997732.0,10.691431043064497
Portugal,10167923.0,1085138.0,10.672169724337998
Mongolia,3329282.0,349509.0,10.498029304817075
Brazil,213993441.0,21729763.0,10.154406087614621
Armenia,2968128.0,295368.0,9.951322854000907
Switzerland,8715494.0,862411.0,9.895147653133602
Colombia,51265841.0,5003839.0,9.760571371490814
North Macedonia,2082661.0,199766.0,9.59186348618426
Kuwait,4328553.0,412527.0,9.530367307504378
Liechtenstein,38254.0,3623.0,9.470905003398338
Lebanon,6769151.0,637819.0,9.422437171219848
Turkey,85042736.0,7851775.0,9.232740348334984
Kosovo,1775378.0,160635.0,9.047932327650788
Austria,9043072.0,798606.0,8.831136144885278
Hungary,9634162.0,843825.0,8.758675637798078
Chile,19212362.0,1681828.0,8.75388460825379
Ireland,4982904.0,429877.0,8.627037566848568
Palestine,5222756.0,450310.0,8.622076160555844
Monaco,39520.0,3389.0,8.575404858299596
Slovakia,5460726.0,456438.0,8.35855891689127
Cuba,11317498.0,945750.0,8.35652897840141
Jordan,10269022.0,851410.0,8.29105244881158
Bulgaria,6896655.0,569443.0,8.25679985442218
Romania,19127772.0,1561928.0,8.165760235954297
Moldova,4024025.0,328000.0,8.15104279918738
Qatar,2930524.0,238518.0,8.139090483476675
Suriname,591798.0,48118.0,8.130814906437669
Poland,37797000.0,2972927.0,7.865510490250549
Italy,60367471.0,4741185.0,7.85387381889826
Botswana,2397240.0,184919.0,7.713829236955832
Bosnia and Herzegovina,3263459.0,247958.0,7.598011802814131
Malaysia,32776195.0,2431716.0,7.419152833329188
United Arab Emirates,9991083.0,739284.0,7.3994380789349865
Malta,514564.0,37551.0,7.297634502219355
Greece,10370747.0,716358.0,6.9074869920170645
Iran,85028760.0,5860844.0,6.892778396391998
Cape Verde,561901.0,38140.0,6.787672561536641
Saint Lucia,184401.0,12426.0,6.738575170416647
Ukraine,43466822.0,2898049.0,6.667266817896188
Peru,33359415.0,2195859.0,6.5824265803222275
Denmark,5813302.0,378760.0,6.515402089896585
Paraguay,7219641.0,460701.0,6.381217570236526
Albania,2872934.0,181696.0,6.324405642454717
Belize,404915.0,25445.0,6.284034920909326
Dominica,72172.0,4508.0,6.246189658039128
Belarus,9442867.0,586234.0,6.208220448302407
Tunisia,11935764.0,711693.0,5.962693297220019
Oman,5223376.0,304163.0,5.823111336423033
Fiji,902899.0,51977.0,5.756679318506278
Bahamas,396914.0,22179.0,5.587860342542717
Russia,145912022.0,8112999.0,5.560199145208199
Germany,83900471.0,4476187.0,5.335115460794016
Barbados,287708.0,15341.0,5.332142310954162
Kazakhstan,18994958.0,1008555.0,5.309593208892592
Grenada,113015.0,5817.0,5.14710436667699
Libya,6958538.0,353626.0,5.081900824569758
Azerbaijan,10223344.0,516325.0,5.050451202659326
Namibia,2587344.0,128824.0,4.979005497529513
Iraq,41179351.0,2046274.0,4.969174963442236
Saint Kitts and Nevis,53546.0,2625.0,4.902326971202331
South Africa,60041996.0,2919632.0,4.862649802648133
Canada,38067913.0,1706136.0,4.481821737902995
Guyana,790329.0,35067.0,4.437012940180608
Saint Vincent and the Grenadines,111269.0,4850.0,4.358806136480061
Bolivia,11832936.0,509919.0,4.309319343905858
