location,total_death_count
United States,735941.0
Brazil,605644.0
India,454712.0
Mexico,281987.0
Russia,226464.0
Peru,200052.0
Indonesia,143205.0
United Kingdom,139950.0
Italy,131826.0
Colombia,127067.0
Iran,125223.0
France,118405.0
Argentina,115826.0
Germany,95121.0
South Africa,88925.0
Spain,87132.0
Poland,76447.0
Turkey,69112.0
Ukraine,68008.0
Romania,44679.0
Philippines,41793.0
Chile,37669.0
Czechia,30615.0
Hungary,30492.0
Canada,28801.0
Malaysia,28400.0
Pakistan,28386.0
Bangladesh,27823.0
Belgium,25846.0
Tunisia,25149.0
Bulgaria,23073.0
Iraq,22961.0
Vietnam,21673.0
Ecuador,20314.0
Bolivia,18901.0
Thailand,18755.0
Netherlands,18752.0
Myanmar,18538.0
Egypt,18285.0
Japan,18207.0
Portugal,18133.0
Kazakhstan,16871.0
Paraguay,16230.0
Greece,15628.0
Sweden,14993.0
Guatemala,14700.0
Morocco,14612.0
Sri Lanka,13611.0
Slovakia,12903.0
Nepal,11348.0
Bosnia and Herzegovina,11322.0
Austria,11251.0
Switzerland,11182.0
Jordan,10951.0
Honduras,10191.0
Georgia,9742.0
Serbia,9509.0
Croatia,9038.0
Saudi Arabia,8778.0
Lebanon,8453.0
Cuba,8167.0
Israel,8049.0
Moldova,7497.0
Panama,7307.0
Afghanistan,7255.0
North Macedonia,7051.0
Costa Rica,6946.0
Azerbaijan,6894.0
Ethiopia,6358.0
Uruguay,6071.0
Armenia,6013.0
Algeria,5890.0
Lithuania,5633.0
Ireland,5369.0
Kenya,5257.0
Libya,5006.0
Venezuela,4810.0
Slovenia,4683.0
Zimbabwe,4669.0
China,4619.0
Palestine,4611.0
Belarus,4515.0
Oman,4110.0
Dominican Republic,4108.0
Zambia,3659.0
El Salvador,3564.0
Namibia,3550.0
Uganda,3200.0
Sudan,3099.0
Latvia,3028.0
Kosovo,2974.0
Nigeria,2882.0
Albania,2874.0
South Korea,2773.0
Cambodia,2734.0
Denmark,2701.0
Kyrgyzstan,2653.0
Syria,2504.0
Kuwait,2461.0
Botswana,2396.0
Malawi,2296.0
Jamaica,2179.0
United Arab Emirates,2130.0
Montenegro,2065.0
Mozambique,1928.0
Senegal,1878.0
Yemen,1840.0
Angola,1697.0
Mongolia,1660.0
Australia,1648.0
Trinidad and Tobago,1645.0
Cameroon,1600.0
Estonia,1461.0
Bahrain,1393.0
Rwanda,1320.0
Uzbekistan,1304.0
Eswatini,1241.0
Somalia,1180.0
Ghana,1170.0
Finland,1139.0
Democratic Republic of Congo,1091.0
Suriname,1058.0
Madagascar,960.0
Guyana,895.0
Norway,894.0
Taiwan,846.0
Luxembourg,842.0
Mauritania,792.0
Tanzania,724.0
Cote d'Ivoire,690.0
Fiji,673.0
Haiti,658.0
Lesotho,656.0
Bahamas,642.0
Qatar,609.0
Cyprus,569.0
Mali,558.0
Belize,473.0
Malta,459.0
Guinea,385.0
Cape Verde,349.0
Gambia,339.0
Papua New Guinea,335.0
Singapore,315.0
Liberia,287.0
Togo,242.0
Saint Lucia,241.0
Maldives,240.0
Congo,239.0
Gabon,224.0
Burkina Faso,214.0
Hong Kong,213.0
Nicaragua,207.0
Niger,207.0
Grenada,196.0
Djibouti,181.0
Chad,174.0
Equatorial Guinea,163.0
Benin,161.0
Mauritius,148.0
Comoros,147.0
Guinea-Bissau,141.0
South Sudan,133.0
Andorra,130.0
Barbados,130.0
Tajikistan,125.0
Sierra Leone,121.0
Timor,121.0
Seychelles,119.0
Central African Republic,100.0
Antigua and Barbuda,99.0
San Marino,91.0
Brunei,80.0
Liechtenstein,60.0
Saint Vincent and the Grenadines,60.0
Sao Tome and Principe,56.0
Laos,52.0
Eritrea,45.0
Burundi,38.0
Monaco,36.0
Iceland,33.0
Dominica,30.0
New Zealand,28.0
Saint Kitts and Nevis,21.0
Bhutan,3.0
Vanuatu,1.0
Anguilla,
Aruba,
Bermuda,
Bonaire Sint Eustatius and Saba,
British Virgin Islands,
Cayman Islands,
Cook Islands,
Curacao,
Faeroe Islands,
Falkland Islands,
French Polynesia,
Gibraltar,
Greenland,
Guernsey,
Isle of Man,
Jersey,
Kiribati,
Macao,
Marshall Islands,
Micronesia (country),
Montserrat,
Nauru,
New Caledonia,
Niue,
Northern Cyprus,
Palau,
Pitcairn,
Saint Helena,
Samoa,
Sint Maarten (Dutch part),
Solomon Islands,
Tokelau,
Tonga,
Turkmenistan,
Turks and Caicos Islands,
Tuvalu,
Vatican,
Wallis and Futuna,
